2025-06-22 00:18:05 | INFO  | mp3        | MP3 azonosítva. title='Szám 1', artist='Ismeretlen elõadó'
2025-06-22 00:18:05 | INFO  | rename     | D:\WORK\PYTHON\ai_file_butler\WORK\input\01 Ritmus.mp3 → D:\WORK\PYTHON\ai_file_butler\WORK\output\MP3\mp3\Ismeretlen elõadó\Ismeretlen elõadó - Szám 1.mp3
2025-06-22 00:18:06 | INFO  | rename     | D:\WORK\PYTHON\ai_file_butler\WORK\input\02 - Track  2.wav → D:\WORK\PYTHON\ai_file_butler\WORK\output\MP3\mp3\Brian Poole\Brian Poole - Do You Love Me.mp3
2025-06-22 00:18:07 | INFO  | rename     | D:\WORK\PYTHON\ai_file_butler\WORK\input\08 - Track  8.wav → D:\WORK\PYTHON\ai_file_butler\WORK\output\MP3\mp3\Mary Hopkin\Mary Hopkin - Those Were the Days (2010 - Remaster).mp3
2025-06-22 00:18:08 | INFO  | rename     | D:\WORK\PYTHON\ai_file_butler\WORK\input\08 Szám 8.mp3 → D:\WORK\PYTHON\ai_file_butler\WORK\output\MP3\mp3\Little Richard\Little Richard - Long Tall Sally.mp3
2025-06-22 00:18:09 | INFO  | rename     | D:\WORK\PYTHON\ai_file_butler\WORK\input\12 - H.T.mp3 → D:\WORK\PYTHON\ai_file_butler\WORK\output\MP3\mp3\Dr.Donuts\Dr.Donuts - H.T.mp3
2025-06-22 00:18:09 | INFO  | rename     | D:\WORK\PYTHON\ai_file_butler\WORK\input\12 - Track 12.wav → D:\WORK\PYTHON\ai_file_butler\WORK\output\MP3\mp3\Showaddywaddy\Showaddywaddy - Under the Moon of Love.mp3
2025-06-22 00:18:10 | INFO  | rename     | D:\WORK\PYTHON\ai_file_butler\WORK\input\2024-214.pdf → D:\WORK\PYTHON\ai_file_butler\WORK\output\PDF\SZAMLA\2024-214.pdf
2025-06-22 00:18:10 | WARNING | image      | ⚠️ EXIF helyadat (GPS) olvasási hiba: 20240707_114403.jpg – Nem található EXIF helyadat mező.
2025-06-22 00:18:10 | INFO  | rename     | D:\WORK\PYTHON\ai_file_butler\WORK\input\20240707_114403.jpg → D:\WORK\PYTHON\ai_file_butler\WORK\output\IMG\2024\2024_07_07 -\20240707_114403.jpg
2025-06-22 00:18:10 | INFO  | image      | [KÉP] Áthelyezve: IMG\2024\2024_07_07 -\20240707_114403.jpg
2025-06-22 00:18:10 | ERROR | image      | ⚠️ DMS érték hiba: 'IFDRational' object is not subscriptable
2025-06-22 00:18:10 | ERROR | image      | ⚠️ DMS érték hiba: 'IFDRational' object is not subscriptable
2025-06-22 00:18:10 | ERROR | img        | ⚠️ Hiba KÉP feldolgozásánál: 20240707_143407.jpg – Unknown format code 'f' for object of type 'str'
2025-06-22 00:18:10 | ERROR | image      | ⚠️ DMS érték hiba: 'IFDRational' object is not subscriptable
2025-06-22 00:18:10 | ERROR | image      | ⚠️ DMS érték hiba: 'IFDRational' object is not subscriptable
2025-06-22 00:18:10 | ERROR | img        | ⚠️ Hiba KÉP feldolgozásánál: 20240707_143408.jpg – Unknown format code 'f' for object of type 'str'
2025-06-22 00:18:10 | ERROR | image      | ⚠️ DMS érték hiba: 'IFDRational' object is not subscriptable
2025-06-22 00:18:10 | ERROR | image      | ⚠️ DMS érték hiba: 'IFDRational' object is not subscriptable
2025-06-22 00:18:10 | ERROR | img        | ⚠️ Hiba KÉP feldolgozásánál: 20240707_144126.jpg – Unknown format code 'f' for object of type 'str'
2025-06-22 00:18:10 | ERROR | image      | ⚠️ DMS érték hiba: 'IFDRational' object is not subscriptable
2025-06-22 00:18:10 | ERROR | image      | ⚠️ DMS érték hiba: 'IFDRational' object is not subscriptable
2025-06-22 00:18:10 | ERROR | img        | ⚠️ Hiba KÉP feldolgozásánál: 20240707_144129.jpg – Unknown format code 'f' for object of type 'str'
2025-06-22 00:18:10 | ERROR | image      | ⚠️ DMS érték hiba: 'IFDRational' object is not subscriptable
2025-06-22 00:18:10 | ERROR | image      | ⚠️ DMS érték hiba: 'IFDRational' object is not subscriptable
2025-06-22 00:18:10 | ERROR | img        | ⚠️ Hiba KÉP feldolgozásánál: 20240707_144247.jpg – Unknown format code 'f' for object of type 'str'
2025-06-22 00:18:10 | ERROR | image      | ⚠️ DMS érték hiba: 'IFDRational' object is not subscriptable
2025-06-22 00:18:10 | ERROR | image      | ⚠️ DMS érték hiba: 'IFDRational' object is not subscriptable
2025-06-22 00:18:10 | ERROR | img        | ⚠️ Hiba KÉP feldolgozásánál: 20240707_144424.jpg – Unknown format code 'f' for object of type 'str'
2025-06-22 00:18:10 | INFO  | rename     | D:\WORK\PYTHON\ai_file_butler\WORK\input\8405100156_3351306290.pdf → D:\WORK\PYTHON\ai_file_butler\WORK\output\PDF\ISMERETLEN\8405100156_3351306290.pdf
2025-06-22 00:18:10 | INFO  | rename     | D:\WORK\PYTHON\ai_file_butler\WORK\input\Ady Endre- Tétel.docx → D:\WORK\PYTHON\ai_file_butler\WORK\output\OFFICE\Ady Endre- Tétel.docx
2025-06-22 00:18:10 | INFO  | rename     | D:\WORK\PYTHON\ai_file_butler\WORK\input\araink-fogorvos-fogaszat-kecskemet-fogpotlas-dentalux-20210201.pdf → D:\WORK\PYTHON\ai_file_butler\WORK\output\PDF\ISMERETLEN\araink-fogorvos-fogaszat-kecskemet-fogpotlas-dentalux-20210201.pdf
2025-06-22 00:20:24 | ERROR | image      | ⚠️ DMS érték hiba: 'IFDRational' object is not subscriptable
2025-06-22 00:20:24 | ERROR | image      | ⚠️ DMS érték hiba: 'IFDRational' object is not subscriptable
